,sub_specie,endangered,claw_length_cm,size_cm,tail_length_cm,weight_kg
1307,Pale-throated sloth,least_concern,8.499,50.552,4.186,4.697
1308,Pale-throated sloth,least_concern,8.214,51.108,4.946,4.752
1309,Pale-throated sloth,least_concern,6.525,49.835,3.59,2.673
1310,Pale-throated sloth,least_concern,7.626,51.657,5.773,5.431
1311,Pale-throated sloth,least_concern,7.15,49.968,6.082,4.438
1312,Pale-throated sloth,least_concern,7.375,48.076,5.908,5.081
1313,Pale-throated sloth,least_concern,7.628,49.988,4.425,4.264
1314,Pale-throated sloth,least_concern,7.926,48.478,5.199,3.395
1315,Pale-throated sloth,least_concern,7.696,49.155,3.597,3.165
1316,Pale-throated sloth,least_concern,7.569,51.55,4.116,5.205
1317,Pale-throated sloth,least_concern,7.753,51.316,4.57,3.873
1318,Pale-throated sloth,least_concern,9.432,51.167,3.803,4.644
1319,Pale-throated sloth,least_concern,6.486,51.246,3.626,3.822
1320,Pale-throated sloth,least_concern,7.795,51.271,6.425,4.629
1321,Pale-throated sloth,least_concern,7.475,50.231,4.833,5.467
1322,Pale-throated sloth,least_concern,6.232,49.206,4.595,5.34
1323,Pale-throated sloth,least_concern,7.124,50.323,4.917,3.7
1324,Pale-throated sloth,least_concern,5.024,49.995,6.376,2.792
1325,Pale-throated sloth,least_concern,8.014,49.947,5.792,3.718
1326,Pale-throated sloth,least_concern,8.093,50.12,5.388,3.97
1327,Pale-throated sloth,least_concern,8.079,51.625,5.061,5.53
1328,Pale-throated sloth,least_concern,7.547,50.035,5.318,5.129
1329,Pale-throated sloth,least_concern,7.438,50.059,5.46,4.746
1330,Pale-throated sloth,least_concern,7.959,49.794,4.643,5.603
1331,Pale-throated sloth,least_concern,8.531,48.429,4.258,4.016
1332,Pale-throated sloth,least_concern,8.208,49.035,5.835,4.449
1333,Pale-throated sloth,least_concern,6.873,48.45,3.834,7.008
1334,Pale-throated sloth,least_concern,7.344,51.27,4.982,5.3
1335,Pale-throated sloth,least_concern,5.642,51.918,5.538,4.099
1336,Pale-throated sloth,least_concern,8.324,48.961,6.307,6.082
1337,Pale-throated sloth,least_concern,5.294,50.337,5.362,4.398
1338,Pale-throated sloth,least_concern,9.131,48.962,3.964,3.315
1339,Pale-throated sloth,least_concern,6.698,49.443,3.494,4.931
1340,Pale-throated sloth,least_concern,5.919,49.421,5.357,3.436
1341,Pale-throated sloth,least_concern,7.35,51.033,6.622,5.518
1342,Pale-throated sloth,least_concern,7.172,50.472,4.107,3.842
1343,Pale-throated sloth,least_concern,9.149,49.191,5.013,4.874
1344,Pale-throated sloth,least_concern,9.245,49.248,5.365,4.596
1345,Pale-throated sloth,least_concern,6.817,49.896,6.504,5.919
1346,Pale-throated sloth,least_concern,7.385,49.567,4.806,2.978
1347,Pale-throated sloth,least_concern,6.961,48.297,4.628,5.546
1348,Pale-throated sloth,least_concern,8.743,49.316,4.337,4.036
1349,Pale-throated sloth,least_concern,5.944,50.334,5.337,2.992
1350,Pale-throated sloth,least_concern,8.796,50.154,3.876,4.143
1351,Pale-throated sloth,least_concern,7.321,49.14,4.968,3.704
1352,Pale-throated sloth,least_concern,7.671,49.719,6.95,3.866
1353,Pale-throated sloth,least_concern,6.01,48.016,4.754,4.674
1354,Pale-throated sloth,least_concern,7.831,49.375,5.977,4.657
1355,Pale-throated sloth,least_concern,7.806,50.431,2.946,3.309
1356,Pale-throated sloth,least_concern,8.057,51.09,2.643,4.123
1357,Pale-throated sloth,least_concern,8.788,51.465,5.944,4.553
1358,Pale-throated sloth,least_concern,7.715,49.651,5.465,5.237
1359,Pale-throated sloth,least_concern,9.189,49.021,4.958,4.602
1360,Pale-throated sloth,least_concern,7.478,49.421,5.373,4.655
1361,Pale-throated sloth,least_concern,7.691,52.05,1.238,4.552
1362,Pale-throated sloth,least_concern,6.204,50.499,3.246,4.895
1363,Pale-throated sloth,least_concern,8.39,49.103,5.321,5.062
1364,Pale-throated sloth,least_concern,7.031,49.484,4.665,3.663
1365,Pale-throated sloth,least_concern,7.72,49.743,6.541,6.265
1366,Pale-throated sloth,least_concern,8.184,50.205,6.968,6.206
1367,Pale-throated sloth,least_concern,7.726,49.561,5.233,4.218
1368,Pale-throated sloth,least_concern,7.177,49.321,4.292,3.424
1369,Pale-throated sloth,least_concern,5.419,50.503,4.075,4.489
1370,Pale-throated sloth,least_concern,8.429,48.941,2.922,2.496
1371,Pale-throated sloth,least_concern,7.042,52.359,6.983,3.861
1372,Pale-throated sloth,least_concern,8.817,49.427,5.412,3.497
1373,Pale-throated sloth,least_concern,9.046,50.554,5.018,4.946
1374,Pale-throated sloth,least_concern,6.801,51.487,4.413,5.527
1375,Pale-throated sloth,least_concern,8.221,49.581,4.693,4.719
1376,Pale-throated sloth,least_concern,6.905,51.154,4.799,3.777
1377,Pale-throated sloth,least_concern,8.166,50.066,3.541,4.725
1378,Pale-throated sloth,least_concern,9.384,50.524,5.155,3.978
1379,Pale-throated sloth,least_concern,7.948,48.721,8.072,4.344
1380,Pale-throated sloth,least_concern,8.65,48.981,3.78,4.454
1381,Pale-throated sloth,least_concern,7.679,49.68,6.629,4.853
1382,Pale-throated sloth,least_concern,5.852,51.874,3.629,4.579
1383,Pale-throated sloth,least_concern,8.104,49.345,6.202,4.621
1384,Pale-throated sloth,least_concern,8.156,49.564,4.802,2.85
1385,Pale-throated sloth,least_concern,6.258,48.833,5.676,5.789
1386,Pale-throated sloth,least_concern,6.611,50.141,5.895,3.811
1387,Pale-throated sloth,least_concern,7.551,50.256,4.39,5.211
1388,Pale-throated sloth,least_concern,7.713,52.41,4.812,4.507
1389,Pale-throated sloth,least_concern,8.777,51.722,5.075,4.042
1390,Pale-throated sloth,least_concern,6.666,49.051,6.386,1.176
1391,Pale-throated sloth,least_concern,7.272,51.887,2.333,4.112
1392,Pale-throated sloth,least_concern,7.307,47.515,4.348,4.059
1393,Pale-throated sloth,least_concern,5.809,51.054,7.044,1.302
1394,Pale-throated sloth,least_concern,5.811,51.075,4.637,2.895
1395,Pale-throated sloth,least_concern,8.412,49.535,2.925,4.983
1396,Pale-throated sloth,least_concern,8.76,50.462,4.854,4.176
1397,Pale-throated sloth,least_concern,7.117,49.894,3.999,4.652
1398,Pale-throated sloth,least_concern,7.245,49.3,5.216,3.965
1399,Pale-throated sloth,least_concern,8.827,49.646,3.964,4.821
1400,Pale-throated sloth,least_concern,7.754,50.472,5.902,2.951
1401,Pale-throated sloth,least_concern,9.149,50.576,2.705,4.512
1402,Pale-throated sloth,least_concern,6.811,52.949,5.119,3.279
1403,Pale-throated sloth,least_concern,7.062,51.192,5.193,5.03
1404,Pale-throated sloth,least_concern,8.179,50.929,4.143,4.335
1405,Pale-throated sloth,least_concern,9.728,49.945,7.189,3.301
1406,Pale-throated sloth,least_concern,7.579,49.603,4.585,4.485
1407,Pale-throated sloth,least_concern,8.315,50.506,4.199,3.539
1408,Pale-throated sloth,least_concern,5.64,49.867,3.966,3.932
1409,Pale-throated sloth,least_concern,7.231,49.842,4.3,4.716
1410,Pale-throated sloth,least_concern,6.623,50.293,4.988,4.141
1411,Pale-throated sloth,least_concern,7.676,51.176,5.294,4.644
1412,Pale-throated sloth,least_concern,8.072,50.339,4.305,4.127
1413,Pale-throated sloth,least_concern,8.055,49.318,4.451,2.889
1414,Pale-throated sloth,least_concern,6.367,51.038,3.986,5.355
1415,Pale-throated sloth,least_concern,6.793,48.2,4.431,5.695
1416,Pale-throated sloth,least_concern,6.876,50.144,4.587,3.712
1417,Pale-throated sloth,least_concern,5.603,50.45,3.743,3.874
1418,Pale-throated sloth,least_concern,7.632,48.828,5.101,2.356
1419,Pale-throated sloth,least_concern,7.888,49.513,3.926,5.832
1420,Pale-throated sloth,least_concern,6.82,49.749,7.166,3.015
1421,Pale-throated sloth,least_concern,6.571,49.999,3.317,5.179
1422,Pale-throated sloth,least_concern,6.876,50.097,6.929,4.006
1423,Pale-throated sloth,least_concern,8.308,49.454,2.779,3.503
1424,Pale-throated sloth,least_concern,6.529,49.211,4.345,4.761
1425,Pale-throated sloth,least_concern,6.18,49.209,4.865,5.918
1426,Pale-throated sloth,least_concern,6.613,48.313,5.356,6.021
1427,Pale-throated sloth,least_concern,8.332,48.843,5.241,5.626
1428,Pale-throated sloth,least_concern,7.709,48.699,5.284,4.91
1429,Pale-throated sloth,least_concern,7.755,50.952,6.584,4.125
1430,Pale-throated sloth,least_concern,8.092,49.141,4.12,4.134
1431,Pale-throated sloth,least_concern,6.991,50.495,5.901,4.632
1432,Pale-throated sloth,least_concern,6.345,50.216,4.354,4.57
1433,Pale-throated sloth,least_concern,6.998,49.472,6.148,3.837
1434,Pale-throated sloth,least_concern,7.548,48.878,5.949,5.694
1435,Pale-throated sloth,least_concern,6.866,50.166,4.817,4.065
1436,Pale-throated sloth,least_concern,7.815,50.198,3.582,4
1437,Pale-throated sloth,least_concern,8.846,50.416,5.674,4.593
1438,Pale-throated sloth,least_concern,6.946,49.878,4.842,3.907
1439,Pale-throated sloth,least_concern,7.039,49.843,5.896,4.491
1440,Pale-throated sloth,least_concern,6.848,47.453,5.589,5.781
1441,Pale-throated sloth,least_concern,7.727,49.628,3.86,3.354
1442,Pale-throated sloth,least_concern,7.939,50.828,3.964,3.358
1443,Pale-throated sloth,least_concern,6.94,48.986,4.642,3.822
1444,Pale-throated sloth,least_concern,7.213,49.675,5.075,3.249
1445,Pale-throated sloth,least_concern,8.359,49.977,6.447,5.092
1446,Pale-throated sloth,least_concern,8.909,49.873,6.041,4.943
1447,Pale-throated sloth,least_concern,6.815,49.367,5.122,2.15
1448,Pale-throated sloth,least_concern,9.419,48.891,5.518,4.207
1449,Pale-throated sloth,least_concern,6.827,48.878,5.672,4.002
1450,Pale-throated sloth,least_concern,7.796,49.837,6.14,4.28
1451,Pale-throated sloth,least_concern,7.048,49.922,3.822,5.53
1452,Pale-throated sloth,least_concern,7.091,50.102,5.162,4.573
1453,Pale-throated sloth,least_concern,8.3,50.375,4.293,5.165
1454,Pale-throated sloth,least_concern,7.173,51.779,5.014,5.619
1455,Pale-throated sloth,least_concern,7.856,49.435,1.362,3.921
1456,Pale-throated sloth,least_concern,8.036,48.292,4.213,4.522
1457,Pale-throated sloth,least_concern,6.801,50.193,4.994,4.156
1458,Pale-throated sloth,least_concern,7.797,50.461,4.79,5.183
1459,Pale-throated sloth,least_concern,6.982,50.845,4.431,3.139
1460,Pale-throated sloth,least_concern,8.391,50.149,3.585,4.656
1461,Pale-throated sloth,least_concern,9.183,48.893,3.398,6.06
1462,Pale-throated sloth,least_concern,7.12,50.781,4.097,4.29
1463,Pale-throated sloth,least_concern,6.414,50.665,6.739,5.015
1464,Pale-throated sloth,least_concern,6.664,48.052,6.618,5.337
1465,Pale-throated sloth,least_concern,8.601,50.303,5.479,5.486
1466,Pale-throated sloth,least_concern,7.395,49.123,5.356,2.421
1467,Pale-throated sloth,least_concern,8.133,50.09,3.726,4.876
1468,Pale-throated sloth,least_concern,6.059,49.848,5.039,4.93
1469,Pale-throated sloth,least_concern,8.794,50.189,4.737,3.777
1470,Pale-throated sloth,least_concern,8.377,49.803,4.179,5.452
1471,Pale-throated sloth,least_concern,8.326,47.651,5.557,4.867
1472,Pale-throated sloth,least_concern,8.489,49.039,6.22,4.877
1473,Pale-throated sloth,least_concern,8.611,52.568,3.758,4.715
1474,Pale-throated sloth,least_concern,7.653,50.264,4.616,3.596
1475,Pale-throated sloth,least_concern,8.454,50.091,5.225,7.726
1476,Pale-throated sloth,least_concern,6.601,49.146,6.059,5.924
1477,Pale-throated sloth,least_concern,6.874,48.407,5.093,6.183
1478,Pale-throated sloth,least_concern,7.049,49.608,4.188,4.347
1479,Pale-throated sloth,least_concern,6.819,49.385,4.064,5.517
1480,Pale-throated sloth,least_concern,7.213,49.973,5.917,4.846
1481,Pale-throated sloth,least_concern,8.792,51.397,4.903,4.912
1482,Pale-throated sloth,least_concern,6.914,51.15,5.592,5.094
1483,Pale-throated sloth,least_concern,7.451,51.362,5.758,5.918
1484,Pale-throated sloth,least_concern,7.399,51.611,5.592,4.749
1485,Pale-throated sloth,least_concern,6.42,50.205,4.518,5.199
1486,Pale-throated sloth,least_concern,7.405,49.143,5.835,3.819
1487,Pale-throated sloth,least_concern,10.058,49.463,3.889,4.158
1488,Pale-throated sloth,least_concern,7.49,50.731,3.435,3.741
1489,Pale-throated sloth,least_concern,6.802,50.662,4.879,4.75
1490,Pale-throated sloth,least_concern,8.782,50.633,4.693,2.637
1491,Pale-throated sloth,least_concern,8.055,49.006,6.638,3.381
1492,Pale-throated sloth,least_concern,8.142,50.284,4.536,4.481
1493,Pale-throated sloth,least_concern,7.779,49.493,5.227,5.749
1494,Pale-throated sloth,least_concern,7.732,48.911,7.068,5.348
1495,Pale-throated sloth,least_concern,6.918,50.365,5.151,3.948
1496,Pale-throated sloth,least_concern,8.07,48.512,5.991,5.356
1497,Pale-throated sloth,least_concern,6.381,48.427,5.782,5.429
1498,Pale-throated sloth,least_concern,6.432,49.4,5.083,2.358
1499,Pale-throated sloth,least_concern,6.105,48.774,5.14,4.633
1500,Pale-throated sloth,least_concern,7.346,50.536,6.365,3.342
1501,Pale-throated sloth,least_concern,8.844,49.518,5.098,6.661
1502,Pale-throated sloth,least_concern,7.15,49.156,3.538,4.341
1503,Pale-throated sloth,least_concern,6.97,50.49,4.274,6.461
1504,Pale-throated sloth,least_concern,8.215,49.849,4.763,3.944
1505,Pale-throated sloth,least_concern,6.746,49.665,3.356,3.71
1506,Pale-throated sloth,least_concern,7.609,48.967,4.576,3.836
1507,Pale-throated sloth,least_concern,7.322,47.782,5.386,3.708
1508,Pale-throated sloth,least_concern,6.892,50.401,6.663,4.268
1509,Pale-throated sloth,least_concern,7.158,50.98,5.02,3.877
1510,Pale-throated sloth,least_concern,8.406,48.915,7.617,5.058
1511,Pale-throated sloth,least_concern,8.184,47.892,3.864,5.262
1512,Pale-throated sloth,least_concern,6.59,50.073,4.808,4.641
1513,Pale-throated sloth,least_concern,7.093,50.62,4.381,3.939
1514,Pale-throated sloth,least_concern,7.447,50.209,5.015,2.744
1515,Pale-throated sloth,least_concern,6.797,51.399,5.393,3.282
1516,Pale-throated sloth,least_concern,7.686,50.008,7.201,2.781
1517,Pale-throated sloth,least_concern,7.648,48.118,3.042,4.995
1518,Pale-throated sloth,least_concern,8.802,51.083,6.09,4.957
1519,Pale-throated sloth,least_concern,6.774,48.492,3.481,3.666
1520,Pale-throated sloth,least_concern,7.321,49.899,4.866,6.854
1521,Pale-throated sloth,least_concern,7.291,50.22,6.803,5.502
1522,Pale-throated sloth,least_concern,7.421,48.503,6.197,3.854
1523,Pale-throated sloth,least_concern,7.778,50.291,6.33,3.659
1524,Pale-throated sloth,least_concern,7.698,49.809,4.036,3.44
1525,Pale-throated sloth,least_concern,8.237,50.706,4.504,4.876
1526,Pale-throated sloth,least_concern,7.789,51.165,5.959,4.2
1527,Pale-throated sloth,least_concern,6.077,49.014,4.143,5.457
1528,Pale-throated sloth,least_concern,8.214,51.686,3.52,5.106
1529,Pale-throated sloth,least_concern,7.004,51.298,6.391,5.183
1530,Pale-throated sloth,least_concern,8.379,49.898,4.695,5.731
1531,Pale-throated sloth,least_concern,8.105,51.065,3.396,4.512
1532,Pale-throated sloth,least_concern,8.955,49.537,6.222,4.891
1533,Pale-throated sloth,least_concern,6.379,51.667,6.877,4.966
1534,Pale-throated sloth,least_concern,6.403,49.704,7.324,4.479
1535,Pale-throated sloth,least_concern,7.296,50.861,4.674,4.107
1536,Pale-throated sloth,least_concern,8.332,49.958,5.847,2.503
1537,Pale-throated sloth,least_concern,8.2,49.708,4.821,4.182
1538,Pale-throated sloth,least_concern,9.818,48.791,3.45,5.254
1539,Pale-throated sloth,least_concern,7.993,49.926,4.6,5.575
1540,Pale-throated sloth,least_concern,7.318,50.657,4.317,5.311
1541,Pale-throated sloth,least_concern,7.667,50.129,3.927,4.984
1542,Pale-throated sloth,least_concern,7.034,49.472,5.186,2.985
1543,Pale-throated sloth,least_concern,7.347,49.103,4.076,3.668
1544,Pale-throated sloth,least_concern,9.609,48.951,3.371,4.296
1545,Pale-throated sloth,least_concern,8.591,49.679,3.986,5.229
1546,Pale-throated sloth,least_concern,7.927,48.009,5.267,4.361
1547,Pale-throated sloth,least_concern,9.967,50.056,4.723,3.552
1548,Pale-throated sloth,least_concern,6.563,53.387,5.034,5.737
1549,Pale-throated sloth,least_concern,7.701,50.08,4.592,5.696
1550,Pale-throated sloth,least_concern,7.821,51.215,2.78,2.306
1551,Pale-throated sloth,least_concern,6.374,49.227,5.519,6.35
1552,Pale-throated sloth,least_concern,7.481,52.835,5.613,5.022
1553,Pale-throated sloth,least_concern,6.476,50.738,4.381,4.72
1554,Pale-throated sloth,least_concern,9.394,49.063,4.398,6.016
1555,Pale-throated sloth,least_concern,8.467,47.964,5.815,5.173
1556,Pale-throated sloth,least_concern,6.797,48.345,4.072,4.989
1557,Pale-throated sloth,least_concern,7.805,50.95,6.087,4.001
1558,Pale-throated sloth,least_concern,6.546,49.428,5.237,2.94
1559,Pale-throated sloth,least_concern,10.123,50.877,4.12,2.764
1560,Pale-throated sloth,least_concern,8.507,49.435,5.741,5.423
1561,Pale-throated sloth,least_concern,6.587,50.859,6.51,3.822
1562,Pale-throated sloth,least_concern,5.907,49.242,5.34,3.987
1563,Pale-throated sloth,least_concern,9.655,51.173,5.437,4.479
1564,Pale-throated sloth,least_concern,7.072,50.574,5.429,4.655
1565,Pale-throated sloth,least_concern,8.012,50.011,4.194,5.417
1566,Pale-throated sloth,least_concern,9.605,48.855,6.308,4.966
1567,Pale-throated sloth,least_concern,6.427,50.818,5.662,4.666
1568,Pale-throated sloth,least_concern,6.54,49.589,4.945,5.701
1569,Pale-throated sloth,least_concern,8.14,51.714,4.02,2.979
1570,Pale-throated sloth,least_concern,6.999,48.47,5.039,2.806
1571,Pale-throated sloth,least_concern,7.101,48.919,3.346,5.714
1572,Pale-throated sloth,least_concern,6.154,51.685,5.081,4.826
1573,Pale-throated sloth,least_concern,7.083,47.994,3.782,4.136
1574,Pale-throated sloth,least_concern,6.897,49.493,4.563,4.67
1575,Pale-throated sloth,least_concern,8.118,49.647,6.218,3.627
1576,Pale-throated sloth,least_concern,6.845,51.29,4.836,4.761
1577,Pale-throated sloth,least_concern,9.486,48.976,3.701,4.53
1578,Pale-throated sloth,least_concern,8.233,49.997,4.263,3.682
1579,Pale-throated sloth,least_concern,6.672,48.634,4.721,3.729
1580,Pale-throated sloth,least_concern,6.703,50.432,4.612,3.654
1581,Pale-throated sloth,least_concern,8.139,49.823,6.927,4.716
1582,Pale-throated sloth,least_concern,5.344,50.606,5.22,4.646
1583,Pale-throated sloth,least_concern,6.426,49.944,3.981,4.255
1584,Pale-throated sloth,least_concern,7.812,51.094,4.807,5.145
1585,Pale-throated sloth,least_concern,7.769,48.069,4.58,4.299
1586,Pale-throated sloth,least_concern,8.308,50.34,5.225,5.428
1587,Brown-throated sloth,least_concern,8.189,61.365,6.729,4.253
1588,Brown-throated sloth,least_concern,6.113,62.381,7.252,5.033
1589,Brown-throated sloth,least_concern,7.013,60.996,6.93,3.883
1590,Brown-throated sloth,least_concern,6.633,61.702,6.446,4.171
1591,Brown-throated sloth,least_concern,8.01,60.331,4.945,3.407
1592,Brown-throated sloth,least_concern,8.018,61.176,5.009,5.075
1593,Brown-throated sloth,least_concern,5.98,60.752,6.43,3.615
1594,Brown-throated sloth,least_concern,8.637,61.211,6.539,3.417
1595,Brown-throated sloth,least_concern,9.423,61.611,5.933,4.046
1596,Brown-throated sloth,least_concern,8.662,61.069,4.946,4.098
1597,Brown-throated sloth,least_concern,6.125,61.638,4.966,4.363
1598,Brown-throated sloth,least_concern,7.645,59.36,6.635,4.744
1599,Brown-throated sloth,least_concern,10.023,59.689,5.182,4.111
1600,Brown-throated sloth,least_concern,6.877,59.572,6.861,4.909
1601,Brown-throated sloth,least_concern,7.447,60.583,5.835,4.927
1602,Brown-throated sloth,least_concern,7.5,61.876,6.949,4.321
1603,Brown-throated sloth,least_concern,8.458,62.51,5.256,3.582
1604,Brown-throated sloth,least_concern,6.885,60.444,6.948,4.244
1605,Brown-throated sloth,least_concern,8.034,61.75,5.863,3.363
1606,Brown-throated sloth,least_concern,7.49,60.432,6.665,4.567
1607,Brown-throated sloth,least_concern,7.938,59.429,6.628,5.242
1608,Brown-throated sloth,least_concern,6.116,61.582,7.788,3.21
1609,Brown-throated sloth,least_concern,9.685,59.15,4.832,2.254
1610,Brown-throated sloth,least_concern,8.571,60.813,6.375,4.922
1611,Brown-throated sloth,least_concern,6.013,61.219,5.981,5.188
1612,Brown-throated sloth,least_concern,8.427,62.814,4.912,4.983
1613,Brown-throated sloth,least_concern,8.682,60.012,6.018,2.578
1614,Brown-throated sloth,least_concern,8.018,62.722,5.531,4.008
1615,Brown-throated sloth,least_concern,7.122,61.57,1.313,4.42
1616,Brown-throated sloth,least_concern,6.839,61.29,6.061,4.956
1617,Brown-throated sloth,least_concern,5.77,60.927,4.125,4.954
1618,Brown-throated sloth,least_concern,8.23,60.594,7.202,2.919
1619,Brown-throated sloth,least_concern,8.572,61.307,4.021,4.119
1620,Brown-throated sloth,least_concern,8.056,60.719,5.905,4.78
1621,Brown-throated sloth,least_concern,6.192,60.005,4.774,2.705
1622,Brown-throated sloth,least_concern,5.59,60.104,6.775,3.013
1623,Brown-throated sloth,least_concern,7.208,59.779,5.696,3.238
1624,Brown-throated sloth,least_concern,7.717,62.033,7.432,4.028
1625,Brown-throated sloth,least_concern,7.727,61.984,5.528,5.682
1626,Brown-throated sloth,least_concern,7.239,60.283,6.191,2.455
1627,Brown-throated sloth,least_concern,7.888,59.034,7.572,3.507
1628,Brown-throated sloth,least_concern,7.533,61.432,6.398,3.76
1629,Brown-throated sloth,least_concern,7.692,61.046,4.924,3.227
1630,Brown-throated sloth,least_concern,5.852,61.221,4.771,4.406
1631,Brown-throated sloth,least_concern,6.842,61.499,5.538,5.944
1632,Brown-throated sloth,least_concern,6.975,61.739,4.256,5.233
1633,Brown-throated sloth,least_concern,6.966,58.512,4.777,4.226
1634,Brown-throated sloth,least_concern,7.267,62.138,5.105,6.055
1635,Brown-throated sloth,least_concern,7.436,63.293,6.113,4.346
1636,Brown-throated sloth,least_concern,8.865,60.05,3.288,3.09
1637,Brown-throated sloth,least_concern,8.07,61.298,4.637,3.663
1638,Brown-throated sloth,least_concern,8.905,60.206,5.407,3.347
1639,Brown-throated sloth,least_concern,9.475,60.2,5.667,5.266
1640,Brown-throated sloth,least_concern,6.195,60.326,4.87,4.826
1641,Brown-throated sloth,least_concern,9.117,60.457,5.859,3.574
1642,Brown-throated sloth,least_concern,7.58,60.787,7.188,4.369
1643,Brown-throated sloth,least_concern,7.723,61.838,6.524,3.842
1644,Brown-throated sloth,least_concern,9.592,61.422,6.884,3.768
1645,Brown-throated sloth,least_concern,6.894,59.579,5.983,3.487
1646,Brown-throated sloth,least_concern,8.648,60.819,5.414,4.561
1647,Brown-throated sloth,least_concern,7.953,61.599,7.651,2.481
1648,Brown-throated sloth,least_concern,9.073,59.734,6.803,4.961
1649,Brown-throated sloth,least_concern,6.193,61.484,4.479,5.122
1650,Brown-throated sloth,least_concern,8.826,60.695,6.104,4.048
1651,Brown-throated sloth,least_concern,7.049,61.488,5.114,5.627
1652,Brown-throated sloth,least_concern,7.177,62.062,6.293,3.445
1653,Brown-throated sloth,least_concern,8.221,60.003,5.043,4.721
1654,Brown-throated sloth,least_concern,7.115,61.534,5.524,4.064
1655,Brown-throated sloth,least_concern,6.756,60.116,7.062,3.761
1656,Brown-throated sloth,least_concern,9.508,61.311,4.706,3.238
1657,Brown-throated sloth,least_concern,7.654,62.156,5.139,3.841
1658,Brown-throated sloth,least_concern,6.445,59.01,5.657,4.178
1659,Brown-throated sloth,least_concern,7.919,61.675,7.531,4.749
1660,Brown-throated sloth,least_concern,7.99,62.633,6.256,3.424
1661,Brown-throated sloth,least_concern,7.628,61.505,6.324,3.954
1662,Brown-throated sloth,least_concern,7.813,60.42,3.494,5.766
1663,Brown-throated sloth,least_concern,5.349,60.89,5.784,3.086
1664,Brown-throated sloth,least_concern,6.378,60.59,6.612,3.738
1665,Brown-throated sloth,least_concern,6.512,60.191,5.309,4.125
1666,Brown-throated sloth,least_concern,6.657,61.081,4.807,5.988
1667,Brown-throated sloth,least_concern,7.642,58.95,6.216,3.8
1668,Brown-throated sloth,least_concern,8.564,60.275,6.282,4.13
1669,Brown-throated sloth,least_concern,6.76,61.322,5.396,3.602
1670,Brown-throated sloth,least_concern,5.679,59.091,6.023,5.487
1671,Brown-throated sloth,least_concern,5.777,62.247,5.856,3.22
1672,Brown-throated sloth,least_concern,7.137,61.271,5.471,2.281
1673,Brown-throated sloth,least_concern,7.89,62.607,4.396,2.035
1674,Brown-throated sloth,least_concern,8.358,60.864,7.294,5.437
1675,Brown-throated sloth,least_concern,5.454,62.505,5.677,4.976
1676,Brown-throated sloth,least_concern,7.306,59.409,6.149,3.263
1677,Brown-throated sloth,least_concern,5.965,60.749,5.303,4.667
1678,Brown-throated sloth,least_concern,7.185,61.044,6.184,4.869
1679,Brown-throated sloth,least_concern,6.947,60.861,6.752,4.349
1680,Brown-throated sloth,least_concern,7.903,61.928,5.491,3.877
1681,Brown-throated sloth,least_concern,8.095,60.866,4.439,5.122
1682,Brown-throated sloth,least_concern,8.422,58.517,5.187,4.343
1683,Brown-throated sloth,least_concern,7.544,61.554,6.254,3.215
1684,Brown-throated sloth,least_concern,7.573,60.712,5.609,5.898
1685,Brown-throated sloth,least_concern,6.244,61.092,5.883,4.813
1686,Brown-throated sloth,least_concern,8.882,60.649,5.962,6.285
1687,Brown-throated sloth,least_concern,7.202,60.342,5.971,4.265
1688,Brown-throated sloth,least_concern,7.498,60.942,6.509,3.946
1689,Brown-throated sloth,least_concern,6.319,61.76,5.06,3.097
1690,Brown-throated sloth,least_concern,9.75,60.928,7.108,3.455
1691,Brown-throated sloth,least_concern,8.117,61.909,3.203,6.147
1692,Brown-throated sloth,least_concern,9.436,60.122,6.132,2.914
1693,Brown-throated sloth,least_concern,7.992,61.211,5.604,3.624
1694,Brown-throated sloth,least_concern,8.031,61.008,4.735,3.701
1695,Brown-throated sloth,least_concern,7.464,62.689,6.629,4.883
1696,Brown-throated sloth,least_concern,6.623,62.458,5.965,2.754
1697,Brown-throated sloth,least_concern,8.53,61.583,6.77,4.065
1698,Brown-throated sloth,least_concern,8.775,61.085,4.965,2.65
1699,Brown-throated sloth,least_concern,8.366,60.496,7.527,4.633
1700,Brown-throated sloth,least_concern,8.025,61.188,6.01,6.343
1701,Brown-throated sloth,least_concern,7.142,60.964,6.799,3.829
1702,Brown-throated sloth,least_concern,7.747,60.427,6.28,4.897
1703,Brown-throated sloth,least_concern,7.442,61.221,5.768,4.587
1704,Brown-throated sloth,least_concern,6.706,59.791,5.999,3.157
1705,Brown-throated sloth,least_concern,9.682,61,5.382,4.374
1706,Brown-throated sloth,least_concern,7.505,62.857,5.868,4.163
1707,Brown-throated sloth,least_concern,8.583,61.615,5.441,5.093
1708,Brown-throated sloth,least_concern,8.453,60.962,6.75,5.434
1709,Brown-throated sloth,least_concern,6.835,59.61,6.013,3.53
1710,Brown-throated sloth,least_concern,6.876,62.047,4.567,4.191
1711,Brown-throated sloth,least_concern,7.959,59.24,6.235,5.057
1712,Brown-throated sloth,least_concern,5.18,59.723,5.868,3.895
1713,Brown-throated sloth,least_concern,8.361,60.751,4.958,5.197
1714,Brown-throated sloth,least_concern,6.367,60.971,8.185,4.565
1715,Brown-throated sloth,least_concern,7.983,61.47,6.47,5.126
1716,Brown-throated sloth,least_concern,8.759,60.964,6.143,4.061
